Location,Unit,Disturbance,Transect,Plot,OAKcount
Hogsback (Blueberry Mountain),12/2,C,4,35,6
Hogsback (Blueberry Mountain),12/2,C,4,45,25
Hogsback (Blueberry Mountain),12/2,C,4,5,0
Hogsback (Blueberry Mountain),12/2,C,4,55,26
Hogsback (Blueberry Mountain),12/2,C,4,65,11
Hogsback (Blueberry Mountain),12/2,C,4,75,2
Hogsback (Blueberry Mountain),12/2,C,4,85,24
Hogsback (Blueberry Mountain),12/2,C,4,95,8
Hogsback (Blueberry Mountain),28/2,B,3,15,17
Hogsback (Blueberry Mountain),28/2,B,3,25,11
Hogsback (Blueberry Mountain),28/2,B,3,35,26
Hogsback (Blueberry Mountain),28/2,B,3,45,26
Hogsback (Blueberry Mountain),28/2,B,3,5,28
Hogsback (Blueberry Mountain),28/2,B,3,55,2
Hogsback (Blueberry Mountain),28/2,B,3,65,7
Hogsback (Blueberry Mountain),28/2,B,3,75,22
Hogsback (Blueberry Mountain),28/2,B,3,85,28
Hogsback (Blueberry Mountain),28/2,B,3,95,11
Hogsback (Blueberry Mountain),12/2,C,5,105,37
Hogsback (Blueberry Mountain),12/2,C,5,115,22
Hogsback (Blueberry Mountain),12/2,C,5,125,15
Hogsback (Blueberry Mountain),12/2,C,5,135,25
Hogsback (Blueberry Mountain),12/2,C,5,145,12
Hogsback (Blueberry Mountain),12/2,C,5,15,1
Hogsback (Blueberry Mountain),12/2,C,5,25,0
Hogsback (Blueberry Mountain),12/2,C,5,35,0
Hogsback (Blueberry Mountain),12/2,C,5,45,0
Hogsback (Blueberry Mountain),12/2,C,5,5,3
Hogsback (Blueberry Mountain),12/2,C,5,55,1
Hogsback (Blueberry Mountain),12/2,C,5,65,0
Hogsback (Blueberry Mountain),12/2,C,5,75,5
Hogsback (Blueberry Mountain),12/2,C,5,85,8
Hogsback (Blueberry Mountain),12/2,C,5,95,8
Hogsback (Blueberry Mountain),3/1,C,1,15,9
Hogsback (Blueberry Mountain),3/1,C,1,25,9
Hogsback (Blueberry Mountain),3/1,C,1,35,3
Hogsback (Blueberry Mountain),3/1,C,1,45,7
Hogsback (Blueberry Mountain),3/1,C,1,5,14
Hogsback (Blueberry Mountain),3/1,C,1,55,16
Hogsback (Blueberry Mountain),3/1,C,1,65,NA
Hogsback (Blueberry Mountain),3/1,C,1,75,15
Hogsback (Blueberry Mountain),3/1,C,1,85,3
Hogsback (Blueberry Mountain),3/1,C,1,95,13
Hogsback (Blueberry Mountain),3/1,C,2,15,12
Hogsback (Blueberry Mountain),3/1,C,2,25,38
Hogsback (Blueberry Mountain),3/1,C,2,35,95
Hogsback (Blueberry Mountain),3/1,C,2,45,48
Hogsback (Blueberry Mountain),3/1,C,2,5,2
Hogsback (Blueberry Mountain),12/2,C,6,15,7
Hogsback (Blueberry Mountain),12/2,C,6,25,12
Hogsback (Blueberry Mountain),12/2,C,6,35,16
Hogsback (Blueberry Mountain),12/2,C,6,45,25
Hogsback (Blueberry Mountain),12/2,C,6,5,1
Hogsback (Blueberry Mountain),3/1,C,2,55,42
Hogsback (Blueberry Mountain),3/1,C,2,65,25
Hogsback (Blueberry Mountain),3/1,C,2,75,11
Hogsback (Blueberry Mountain),3/1,C,2,85,0
Hogsback (Blueberry Mountain),3/1,C,2,95,1
Hogsback (Blueberry Mountain),3/1,C,3,15,0
Hogsback (Blueberry Mountain),3/1,C,3,25,1
