Location,Unit,Disturbance,Transect,Plot,Spcode,Count
HOG,12/2,C,5,75,RUS,3
HOG,12/2,C,5,85,ACSA,2
HOG,12/2,C,5,85,ACRU,4
HOG,12/2,C,5,85,BEAL,1
HOG,12/2,C,5,85,BEPA,4
HOG,12/2,C,5,85,RUS,1
HOG,3/1,C,1,5,OSVI,5
HOG,3/1,C,1,5,ACSA,9
HOG,3/1,C,1,15,OSVI,2
HOG,3/1,C,1,15,BEAL,1
HOG,3/1,C,1,15,FAGR,1
HOG,3/1,C,1,15,ACRU,1
HOG,3/1,C,1,25,FRAM,1
HOG,3/1,C,1,25,OSVI,1
HOG,3/1,C,1,25,ACSA,6
HOG,3/1,C,1,25,BEAL,1
HOG,3/1,C,1,35,FRAM,2
HOG,3/1,C,1,35,OSVI,1
HOG,3/1,C,1,35,RUS,2
HOG,3/1,C,1,45,OSVI,3
HOG,3/1,C,1,45,ACSA,1
HOG,3/1,C,1,45,ACRU,1
HOG,3/1,C,1,55,ACSA,5
HOG,3/1,C,1,55,FAGR,1
HOG,3/1,C,1,75,OSVI,2
HOG,3/1,C,1,75,ACPE,2
HOG,3/1,C,1,75,ACSA,3
HOG,3/1,C,1,75,ACRU,1
HOG,3/1,C,1,85,FAGR,3
HOG,3/1,C,1,85,FRAM,7
HOG,3/1,C,1,85,BEAL,5
HOG,3/1,C,1,85,ACRU,2
HOG,3/1,C,1,95,OSVI,2
HOG,3/1,C,1,95,ACPE,3
HOG,3/1,C,2,5,ACRU,4
HOG,3/1,C,2,5,OSVI,3
HOG,3/1,C,2,5,ACPE,1
HOG,12/2,C,5,95,FRAM,2
HOG,12/2,C,5,95,RUS,4
HOG,12/2,C,5,95,BEAL,20
HOG,12/2,C,5,95,ACRU,5
HOG,12/2,C,5,95,VILA,1
HOG,12/2,C,5,95,OSVI,1
HOG,12/2,C,5,95,ACSA,1
